file,publisher,reportDate,fieldworkEnd,sampleSize,includedInCurrentModel,table,page,party,seats,rawPct,adult_jewish,youth,haredi,arab
channel14-next-data-2026-09-15.png,חדשות 14 — סקר חדש,2026-09-15,2026-09-15,483,True,המנדטים והאחוזים שפורסמו בגרפיקת חדשות 14,1,הליכוד,30,,,,,
channel14-next-data-2026-09-15.png,חדשות 14 — סקר חדש,2026-09-15,2026-09-15,483,True,המנדטים והאחוזים שפורסמו בגרפיקת חדשות 14,1,ישר!,21,,,,,
channel14-next-data-2026-09-15.png,חדשות 14 — סקר חדש,2026-09-15,2026-09-15,483,True,המנדטים והאחוזים שפורסמו בגרפיקת חדשות 14,1,ש״ס,10,,,,,
channel14-next-data-2026-09-15.png,חדשות 14 — סקר חדש,2026-09-15,2026-09-15,483,True,המנדטים והאחוזים שפורסמו בגרפיקת חדשות 14,1,הדמוקרטים,9,,,,,
channel14-next-data-2026-09-15.png,חדשות 14 — סקר חדש,2026-09-15,2026-09-15,483,True,המנדטים והאחוזים שפורסמו בגרפיקת חדשות 14,1,ביחד,8,,,,,
channel14-next-data-2026-09-15.png,חדשות 14 — סקר חדש,2026-09-15,2026-09-15,483,True,המנדטים והאחוזים שפורסמו בגרפיקת חדשות 14,1,הציונות הדתית–זהות,8,,,,,
channel14-next-data-2026-09-15.png,חדשות 14 — סקר חדש,2026-09-15,2026-09-15,483,True,המנדטים והאחוזים שפורסמו בגרפיקת חדשות 14,1,עוצמה יהודית,8,,,,,
channel14-next-data-2026-09-15.png,חדשות 14 — סקר חדש,2026-09-15,2026-09-15,483,True,המנדטים והאחוזים שפורסמו בגרפיקת חדשות 14,1,יהדות התורה,8,,,,,
channel14-next-data-2026-09-15.png,חדשות 14 — סקר חדש,2026-09-15,2026-09-15,483,True,המנדטים והאחוזים שפורסמו בגרפיקת חדשות 14,1,הרשימה המשותפת,7,,,,,
channel14-next-data-2026-09-15.png,חדשות 14 — סקר חדש,2026-09-15,2026-09-15,483,True,המנדטים והאחוזים שפורסמו בגרפיקת חדשות 14,1,ישראל ביתנו,6,,,,,
channel14-next-data-2026-09-15.png,חדשות 14 — סקר חדש,2026-09-15,2026-09-15,483,True,המנדטים והאחוזים שפורסמו בגרפיקת חדשות 14,1,רע״ם,5,,,,,
channel14-next-data-2026-09-15.png,חדשות 14 — סקר חדש,2026-09-15,2026-09-15,483,True,המנדטים והאחוזים שפורסמו בגרפיקת חדשות 14,1,עמך ישראל,0,2.3,,,,
channel14-next-data-2026-09-15.png,חדשות 14 — סקר חדש,2026-09-15,2026-09-15,483,True,המנדטים והאחוזים שפורסמו בגרפיקת חדשות 14,1,המילואימניקים והכלכלית,0,2.1,,,,
channel14-next-data-2026-09-15.png,חדשות 14 — סקר חדש,2026-09-15,2026-09-15,483,True,המנדטים והאחוזים שפורסמו בגרפיקת חדשות 14,1,כחול לבן,0,0.4,,,,
channel14-next-data-2026-09-15.png,חדשות 14 — סקר חדש,2026-09-15,2026-09-15,483,True,המנדטים והאחוזים שפורסמו בגרפיקת חדשות 14,1,נעם לישראל,0,0.3,,,,
channel14-next-data-2026-09-15.png,חדשות 14 — סקר חדש,2026-09-15,2026-09-15,483,True,המנדטים והאחוזים שפורסמו בגרפיקת חדשות 14,1,הציבור החרדי,0,0.2,,,,
channel14-next-data-2026-09-15.png,חדשות 14 — סקר חדש,2026-09-15,2026-09-15,483,True,חלוקת הגושים במקור — נפרדת מהגדרת הגושים במודל,1,גוש ימין,64,,,,,
